1,2,3,tierra_ejidal_2012,34,viv_dren_2012,viv_piso_2012,viv_des_2012,povline_2012,gini_2012,pobocu_2012,emp_form_2012,crec_mancha_2012,den_2012,sal_men_2012,prod_trab_2012,pobocusin_2012,crec_pobocusin_2012,merc_hip_2012,cartera_vencida_2012,pib_sector_2012,pib _state_2012,crec_sal_2012,num_sec_2012,unemp_2012,transp_2012,carre_2012,fdi_2012,fronterano_2012,inv_pea_2012,hab_2012,pobocup_2012,pea_2012,vivhab_2012,pib_2012,areakm_2012,autos_2012,tam_cd_2012,region,vivtot_2012
Tehuantepec-Salina Cruz,32,Oaxaca,0.476619523,0.13931631,55.6716754,6.401630443,19.0320654,0.055241771,0.44400225,0.443408348,-0.008658034,0.543136592,3687.702857,5813.203613,85.2869818,0.152593708,-0.11867717,3.565317304,0.011500551,0.213441972,0.019530159,0.075397726,408,0.035429098,2,0.416747338,157.5582142,1,697.0851735,166605.0871,54478,56479,45892.37111,154638244.4,1506.31,17412,Menos de 250 mil,Sur-Sureste,53578
Puebla-Tlaxcala,33,Puebla,0.531186358,-0.026759269,86.09652995,2.007433946,18.94109115,0.049508903,0.29303781,0.354199443,-0.10592419,0.618987054,4451.460824,5639.359863,280.902231,0.191059679,0.00807064,7.170713142,0.059721255,0.261471817,0.028096621,-0.009793405,820,0.052234297,2,0.777459408,139.6862081,0,79.60708447,2848670.641,1243915,1312471,719486.1893,370598322.6,2408.89,632253,Más de un millón,Centro,836937
Tehuacán,34,Puebla,0.70770183,-0.073402553,86.19238736,5.541035652,18.5847228,0.047450871,0.284242816,0.339938722,-0.131354265,0.534135237,4589.565621,4874.995605,142.5687355,0.164603753,0.118521463,2.699676122,0.054431341,0.235554338,0.029223043,0.018030245,504,0.038628937,2,0.991071429,69.11430458,0,40.26154086,308185.1164,131206,136478,75707.86877,19472431.9,647.37,43570,De 250 a 500 mil,Centro,88223
Querétaro,35,Querétaro,0.493050558,-0.003360738,77.09101131,2.079867804,20.66211114,0.021289815,0.315327434,0.593741465,-0.038212523,0.907455439,8698.263559,5594.874023,467.8448306,0.30909648,0.045728476,18.32383196,0.043069066,0.316012717,0.042669566,-0.006131811,749,0.054707457,1,0.665544332,354.894202,0,113.2120335,1153470.521,450361,476425,309680.7396,223625095.4,2051.17,276872,Más de un millón,Centro,352539
San Juan del Río,68,Querétaro,0.623275211,-0.038823278,76.45818509,1.762445723,22.33014595,0.030725326,0.277855071,0.551024039,-0.051402538,0.19891607,4523.713355,5100.616211,546.1407512,0.308603602,0.065252247,4.66144825,0.045389021,0.25349329,0.042669566,-0.045883528,505,0.062911894,2,0.557894737,411.3274556,0,134.5591247,253569.2636,95553,101968,67846.061,56741098.12,766.94,40854,De 250 a 500 mil,Centro,79480
Cancún,36,Quintana Roo,0.174326641,0.050413394,65.936656,1.488637501,24.68566769,0.027031076,0.350260322,0.537080444,-0.044998642,5.514230449,5489.294976,5860.439453,232.8223333,0.155571326,0.116278414,16.06469766,0.092367343,0.297148907,0.041279665,0.021718864,615,0.051829822,1,1,202.853527,1,103.0566307,915734.6323,386093,407198,268290.9705,94860076.35,6411.9,268371,De 500 mil a un millón,Sur-Sureste,321316
Chetumal ,76,Quintana Roo,0.819374185,0.01683477,67.53851699,3.218950054,16.82487188,0.039132512,0.382134795,0.454749772,-0.124628697,1.836647273,5569.868374,6411.283203,88.31862191,0.102236764,-0.01536687,11.27132461,0.103466245,0.538237928,0.041279665,0.011097326,447,0.032045358,2,1,142.4195682,1,37.1566499,222511.558,186430,192602,71062.6124,17028477.78,14592.59,77014,Menos de 250 mil,Sur-Sureste,79222
Rioverde-Ciudad Fernández,38,San Luis Potosí,0.407925766,0.069407256,61.62223504,6.611723074,20.50731983,0.075120923,0.450066287,0.287568437,0.021697594,-1.231012616,3674.769398,5274.339844,27.79305299,0.222532767,0.153476854,1.443634295,0.190638546,0.591419698,0.032767604,0.066320448,360,0.0281905,2,0.490566038,11.14885891,0,7.613524185,139924.6337,78357,80630,35466.85144,2250688.406,3591.44,24300,Menos de 250 mil,Centro-Occidente,42419
San Luis Potosí-Soledad,37,San Luis Potosí,0.465081519,-0.021079984,71.37509707,1.011796989,18.64982972,0.03833149,0.393508737,0.593044157,-0.036037668,1.000669031,7000.222028,6197.100098,413.8738553,0.247497271,0.145784784,14.58725097,0.030129019,0.24807152,0.032767604,-0.005900874,761,0.0412755,1,0.933333333,136.9703147,0,116.0521934,1085125.637,484571,505433,282275.0048,209700029.5,1776.57,366308,Más de un millón,Centro-Occidente,327692
Los Mochis,69,Sinaloa,0.629585174,0.054792707,79.64470675,2.562442032,20.64309759,0.037458266,0.347165154,0.509567727,-0.075081241,0.881702366,7840.299419,6427.730469,181.5667787,0.077326056,0.283326468,7.387644121,0.044346507,0.482537804,0.017915739,-0.068679928,566,0.051402453,2,0.150051038,62.90898188,0,76.97390185,438570.1242,159390,168027,113912.0403,30508440.47,4003.56,95553,De 250 a 500 mil,Noroeste,137242
