orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,pob_1980,pob_2000,pob_2005,pob_2010,cambio_pob,area_1980,area_2000,area_2005,area_2010,cambio_area,sub_2015,sub_2010,normativa,remuneraciones_1980,remuneraciones_2000,remunera_2009,remunera_2014,autos_2014,autos_1980,tasamoto_1980,autos_2000,tasamoto_2000,autos_2005,tasamoto_2005,autos_2010,tasamoto_2010,tam_fam_1980,tam_fam_2000,tam_fam_2005,tam_fam_2010
133,0,Taxco de Alarcon,Taxco de Alarcon,Taxco de Alarcon,Guerrero,50mil- 100mil,36315,50488,50415,52217,1.437890679,162,877,996,1000,6.172839506,21858.65,96613.1,,,,42,53,73387,2659,73.22043233,14931,295.7336397,28333,561.9954379,43422,831.5682632,,,4.01,3.71
113,0,Zihuatanejo ,Jose Azueta,Jose Azueta,Guerrero,50mil- 100mil,6887,56853,62376,67408,9.787715987,124,607,689,871,7.024193548,126805.48,40176.03,,,,84,66,,1879,272.8328735,14344,252.2997907,28774,461.2992176,33535,497.4928792,,,3.76,3.65
32,0,Pachuca,Pachuca,Pachuca,Hidalgo,500mil - 1 millon,135248,375022,438692,512196,3.787087425,595,7918,10818,12582,21.14621849,11757765.97,8632062.81,,,,86,69,175759,24923,184.2762924,77469,206.5718811,119317,271.9835329,159206,310.8302291,,,3.76,3.66
61,1,Tula ,Tula ,Tula ,Hidalgo,100mil - 500mil,57604,169901,184691,205812,3.572876884,323,6340,7111,7709,23.86687307,NA,638109.39,,,,94,122,50161,5788,100.4791334,23783,139.9815186,34001,184.0966804,45036,218.82106,,,3.86,3.73
56,1,Tulancingo ,Tulancingo ,Tulancingo ,Hidalgo,100mil - 500mil,70782,193638,204708,239579,3.384744709,278,5050,5718,6479,23.3057554,1334429.1,22791502.19,,,,56,59,75764,7138,100.8448476,28528,147.3264545,48302,235.9556051,67585,282.0990154,,,4.07,3.91
2,0,Guadalajara,Guadalajara,Guadalajara,Jalisco,1 millon +,2244715,3699136,4095853,4434878,1.975697583,12726,39795,43045,48585,3.817774635,12902871.38,8730671.7,,,,90,95,858705,270513,120.5110671,475897,128.6508525,688064,167.990404,834032,188.061994,,,3.98,3.95
75,1,Ocotl‡n,Ocotlan,Ocotl‡n,Jalisco,100mil - 500mil,59196,125027,133157,141375,2.388252585,380,2083,2179,2384,6.273684211,13191432.75,207301.54,,,,52,70,37478,4338,73.28197851,15899,127.1645325,22756,170.89601,32571,230.3872679,,,4.03,4.03
100,0,Tepatitl‡n de Morelos ,Tepatitlan de Morelos ,Tepatitl‡n de Morelos ,Jalisco,50mil- 100mil,41813,74262,82975,91959,2.199292086,245,1453,1665,2011,8.208163265,972054.04,0,,,,59,67,69402,4628,110.6832803,29285,394.3470416,45651,550.1777644,62468,679.3027327,,,4.28,4.09
96,0,Lagos de Moreno ,Lagos de Moreno ,Lagos de Moreno ,Jalisco,50mil- 100mil,44223,79592,92716,98206,2.220699636,287,1542,1808,1976,6.885017422,11934173.54,22601862.01,,,,73,88,44113,3988,90.17931845,13850,174.0124636,25278,272.6390267,38765,394.7314828,,,4.5,4.17
97,1,Ciudad Guzm‡n ,Zapotlan el Grande,Zapotl‡n el Grande,Jalisco,50mil- 100mil,60938,85118,93609,97750,1.604089402,489,1213,1237,1407,2.877300613,70324.32,935244.45,,,,50,61,,4781,78.45679215,18436,216.593435,26998,288.412439,36281,371.1611253,,,3.94,
134,0,Arandas,Arandas,Arandas,Jalisco,50mil- 100mil,19835,39478,46099,52175,2.630451223,153,816,918,952,6.222222222,966076.59,3863381.37,,,,52,58,30366,2000,100.8318629,18148,459.6990729,27103,587.9303239,25649,491.5955918,,,4.35,3.95
41,1,Puerto Vallarta ,Puerto Vallarta ,Puerto Vallarta ,Jalisco-Nayarit,100mil - 500mil,57028,244536,304107,379886,6.661394403,285,5070,5819,6242,21.90175439,2100930.57,300003.96,,,,70,68,102665,6812,119.4500947,29891,122.2355809,52685,173.2449434,84087,221.3479833,,,3.85,3.71
,0,Morelia ,Morelia,Morelia,Michoacan,500mil - 1 millon,353055,679109,755041,829625,2.349846341,1633,8300,9095,10120,6.197183099,,50217158.35,,,,87,86,,23736,67.23031822,174701,257.2503089,261353,346.1441167,349064,420.7491336,,,3.93,3.84
78,0,Ciudad L‡zaro C‡rdenas ,Lazaro Cardenas ,L‡zaro C‡rdenas ,Michoacan,100mil - 500mil,94753,126828,126709,137306,1.44909396,181,5488,5754,5753,31.78453039,1329773.25,4050029.71,,,,79,96,70764,4829,50.96408557,23776,187.46649,36364,286.988296,56286,409.9311028,,,3.97,3.8
52,0,Uruapan ,Uruapan ,Uruapan ,Michoacan,100mil - 500mil,122828,232252,246852,276839,2.253875338,931,3418,3546,3839,4.123523093,159447.75,6378201.72,,,,58,69,131114,13831,112.6046178,52243,224.9410123,71719,290.5344093,101814,367.7733267,,,4.13,3.98
54,1,Zamora-Jacona ,Zamora-Jacona ,Zamora-Jacona ,Michoacan,100mil - 500mil,148721,216048,230777,250113,1.681759805,660,3096,3141,3405,5.159090909,21968711.26,28345196.32,,,,31,88,91880,15053,101.2163716,43527,201.469118,58197,252.17851,90566,362.1003307,,,3.97,3.89
101,0,Zit‡cuaro ,Zitacuaro ,Zit‡cuaro ,Michoacan,50mil- 100mil,47520,81700,83701,90520,1.904882155,241,2309,2340,2465,10.22821577,136386.56,953902.18,,,,47,58,104300,5362,112.8367003,25292,309.5716034,43802,523.3151336,97742,1079.783473,,,4.42,4.09
95,0,Apatzing‡n de la Constituci—n ,Apatzingan de la Constitucion ,Apatzing‡n de la Constituci—n ,Michoacan,50mil- 100mil,55522,93756,93180,99010,1.783257087,765,1613,1699,1730,2.261437908,560906.7,684340.57,,,,52,63,51010,5736,103.3103995,21278,226.9508085,29786,319.6608714,39324,397.1720028,,,4.21,4.1
132,0,Zacapu,Zacapu,Zacapu,Michoacan,50mil- 100mil,39570,49086,51386,52806,1.33449583,236,1307,1343,1377,5.834745763,1467477.36,1278112.99,,,,66,85,31050,4653,117.5890826,16494,336.0224911,20301,395.0686958,27501,520.7930917,,,3.92,3.97
119,0,Ciudad Hidalgo,Ciudad Hidalgo,Ciudad Hidalgo,Michoacan,50mil- 100mil,32311,54854,57773,60542,1.873727214,184,1081,1099,1289,7.005434783,66062.24,15647.04,,,,43,60,51869,2200,68.08826715,19269,351.2779378,28504,493.3792602,45957,759.0928612,,,4.46,4.2
114,0,Sahuayo de Morelos ,Sahuayo de Morelos ,Sahuayo de Morelos ,Michoacan,50mil- 100mil,43258,57827,59316,64431,1.489458597,232,1190,1200,1270,5.474137931,7071538.82,3825322.27,,,,42,56,40791,3661,84.63174442,12381,214.1041382,17337,292.282015,28413,440.9833776,,,4.17,3.98
129,0,Patzcuaro,Patzcuaro,Patzcuaro,Michoacan,50mil- 100mil,32902,47993,51124,55298,1.680688104,466,901,928,979,2.100858369,844041.23,338106.38,,,,44,55,29803,4029,122.454562,11423,238.013877,16201,316.896174,24396,441.1732793,,,4.33,4.18
15,0,Cuernavaca,Cuernavaca,Cuernavaca,Morelos,500mil - 1 millon,368166,798782,847144,924964,2.512355839,2552,16454,17164,17450,6.837774295,70324.32,2998935.75,,,,89,94,188653,55175,149.8644633,98424,123.2175988,102632,121.1505954,130005,140.5514161,,,3.62,3.55
35,1,Cuautla ,Cuautla ,Cuautla ,Morelos,100mil - 500mil,138127,372256,383010,434147,3.14310019,417,8294,8720,9089,21.79616307,767813.12,1465473.35,,,,57,73,60304,22356,161.8510501,28489,76.53066707,33240,86.78624579,45390,104.5498414,,,3.85,3.74
36,1,Tepic ,Tepic ,Tepic ,Nayarit,100mil - 500mil,177007,342840,379296,429351,2.425615936,876,4406,4650,4620,5.273972603,13148401.09,34400953.6,,,,67,73,165645,17219,97.2786387,70492,205.6119473,111011,292.6764321,144647,336.8968513,,,3.75,3.65
3,0,Monterrey,Monterrey,Monterrey,Nuevo Leon,1 millon +,2061744,3381005,3745073,4106054,1.991544052,12855,55035,58668,63018,4.902217036,995791.01,8772136.32,,,,115,127,567309,160021,77.6143886,360244,106.549384,453597,121.1183333,621383,151.3333726,,,3.96,3.8
116,0,Linares ,Linares ,Linares ,Nuevo Leon,50mil- 100mil,33102,53681,56065,63104,1.906350069,359,1430,1521,1549,4.314763231,5838574.95,8475018.41,,,,75,86,19543,8337,251.8578938,10439,194.4635905,19238,343.1374298,25212,399.5309331,,,3.87,3.79
28,0,Oaxaca,Oaxaca,Oaxaca,Oaxaca,500mil - 1 millon,175910,501283,555545,607963,3.456102552,873,10748,12803,13441,15.39633448,797109.09,85710352.11,,,,71,59,187060,44,0.250127906,86504,172.5651977,104779,188.6057835,147265,242.2269118,,,3.83,3.84
67,1,Tehuantepec ,Tehuantepec ,Tehuantepec ,Oaxaca,100mil - 500mil,70682,145567,150281,161337,2.282575479,1138,3712,4209,4375,3.844463972,3388763.54,1525927.87,,,,45,60,34876,108,1.527970346,14832,101.8912253,19662,130.8349026,28363,175.7997236,,,3.91,3.84
93,0,San Juan Bautista Tuxtepec ,San Juan Bautista Tuxtepec ,San Juan Bautista Tuxtepec ,Oaxaca,100mil - 500mil,29050,87071,97241,105182,3.620722892,329,3628,3741,3856,11.72036474,328180.16,3650488.24,,,,100,109,32764,1591,54.767642,10598,121.7167599,16644,171.1623698,23173,220.3133616,,,3.88,3.68
109,0,Heroica Ciudad de Juchit‡n de Zaragoza ,Juchitan de Zaragoza ,Juchit‡n de Zaragoza ,Oaxaca,50mil- 100mil,38801,64642,70714,74825,1.92842968,202,1066,1233,1331,6.589108911,1344054.02,1935062.02,,,,46,48,41733,644,16.59751037,14493,224.2040778,28690,405.718811,30454,407.003007,,,4.26,4.21
