orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,remuneraciones_2014,remuneraciones_2009,remuneraciones_2000,remuneraciones_1980,autos_2014,autos_1980,autos_2000,autos_2005,autos_2010,tam_fam_2010,tam_fam_2005,tam_fam_2000,tam_fam_1980,pob_1980,pob_2000,pob_2005,pob_2010,area_1980,area_2000,area_2005,area_2010,dis_sub_2015,normativa
132,0,Zacapu,Zacapu,Zacapu,Michoacan,50mil- 100mil,85,66,,,31050,4653,16494,20301,27501,3.97,3.92,,,39570,49086,51386,52806,236,1307,1343,1377,1467477.36,
,0,Morelia ,Morelia,Morelia,Michoacan,500mil - 1 millon,86,87,,,,,,,,3.84,3.93,,,353055,679109,755041,829625,1633,8300,9095,10120,,
15,0,Cuernavaca,Cuernavaca,Cuernavaca,Morelos,500mil - 1 millon,94,89,,,188653,55175,98424,102632,130005,3.55,3.62,,,368166,798782,847144,924964,2552,16454,17164,17450,70324.32,
35,1,Cuautla ,Cuautla ,Cuautla ,Morelos,100mil - 500mil,73,57,,,60304,22356,28489,33240,45390,3.74,3.85,,,138127,372256,383010,434147,417,8294,8720,9089,767813.12,
36,1,Tepic ,Tepic ,Tepic ,Nayarit,100mil - 500mil,73,67,,,165645,17219,70492,111011,144647,3.65,3.75,,,177007,342840,379296,429351,876,4406,4650,4620,13148401.09,
3,0,Monterrey,Monterrey,Monterrey,Nuevo Leon,1 millon +,127,115,,,567309,160021,360244,453597,621383,3.8,3.96,,,2061744,3381005,3745073,4106054,12855,55035,58668,63018,995791.01,
116,0,Linares ,Linares ,Linares ,Nuevo Leon,50mil- 100mil,86,75,,,19543,8337,10439,19238,25212,3.79,3.87,,,33102,53681,56065,63104,359,1430,1521,1549,5838574.95,
28,0,Oaxaca,Oaxaca,Oaxaca,Oaxaca,500mil - 1 millon,59,71,,,187060,44,86504,104779,147265,3.84,3.83,,,175910,501283,555545,607963,873,10748,12803,13441,797109.09,
67,1,Tehuantepec ,Tehuantepec ,Tehuantepec ,Oaxaca,100mil - 500mil,60,45,,,34876,108,14832,19662,28363,3.84,3.91,,,70682,145567,150281,161337,1138,3712,4209,4375,3388763.54,
93,0,San Juan Bautista Tuxtepec ,San Juan Bautista Tuxtepec ,San Juan Bautista Tuxtepec ,Oaxaca,100mil - 500mil,109,100,,,32764,1591,10598,16644,23173,3.68,3.88,,,29050,87071,97241,105182,329,3628,3741,3856,328180.16,
109,0,Heroica Ciudad de Juchitán de Zaragoza ,Juchitan de Zaragoza ,Juchitán de Zaragoza ,Oaxaca,50mil- 100mil,48,46,,,41733,644,14493,28690,30454,4.21,4.26,,,38801,64642,70714,74825,202,1066,1233,1331,1344054.02,
131,0,Heroica Ciudad de Huajuapan de Leon,Huajuapan de Leon,Huajuapan de Leon,Oaxaca,50mil- 100mil,55,52,,,17695,51,6868,11290,12740,4.08,4.2,,,16743,43073,45321,53043,28,774,1159,1270,679801.76,
50,1,Tehuacán ,Tehuacan ,Tehuacán ,Puebla,100mil - 500mil,62,51,,,66151,8921,32701,34428,60039,4.06,4.2,,,113107,240507,279409,296899,718,6140,6262,6469,12844963.94,
84,1,Teziutlán ,Teziutlan ,Teziutlán ,Puebla,100mil - 500mil,60,49,,,19155,3994,10703,11867,17025,3.74,4.08,,,25119,102727,115057,122500,75,2053,2362,2639,1001240.99,
103,0,Atlixco ,Atlixco ,Atlixco ,Puebla,50mil- 100mil,56,51,,,32511,3785,17475,18631,28947,3.92,4.19,,,53207,82838,86173,86690,367,2562,2674,2826,2720652.96,
121,0,Acatzingo de Hidaldgo,Acatzingo de Hidaldgo,Acatzingo de Hidaldgo,Puebla,50mil- 100mil,51,40,,,8170,-,-,4238,7567,4.47,5.25,,,12506,47197,54486,59552,447,2725,2743,2860,1279443.24,
122,0,Huachinango,Huachinango,Huachinango,Puebla,50mil- 100mil,53,42,,,16730,3595,10563,11085,17006,4.04,4.29,,,25778,49452,54753,59256,48,1052,1104,1146,418148.59,
4,0,Puebla-Tlaxcala,Puebla-Tlaxcala,Puebla-Tlaxcala,Puebla-Tlaxcala,1 millon +,71.5,82,,,554315,126127,282065,386584,513331,3.76,3.91,,,1111266,2269995,2523321,2728790,4871,56619,58393,61301,54697598.16,
10,0,Querétaro,Querétaro,Querétaro,Queretaro,1 millon +,115,102,,,325177,33474,155121,169935,269834,3.82,3.99,,,323275,816481,950828,1097025,782,9231,11075,12612,47123979.83,
77,0,San Juan del Río ,San Juan del Rio ,San Juan del Río ,Queretaro,100mil - 500mil,105,102,,,88614,5389,27321,30384,55600,3.71,4.1,,,27204,99483,120984,138878,79,2571,2986,3070,10595027.42,
25,0,Cancun,Cancun,Cancun,Quintana Roo,500mil - 1 millon,84,84,,,280897,3867,76713,114021,220415,3.5,3.75,,,37190,431128,586288,677379,478,4341,5835,12340,309498464.4,
72,0,Chetumal ,Chetumal ,Chetumal ,Quintana Roo,100mil - 500mil,67,83,,,116941,8516,31821,48091,93452,3.59,3.92,,,56709,126095,141271,156569,770,2220,2331,2811,22618935.28,
73,0,Playa del Carmen ,Playa del Carmen ,Playa del Carmen ,Quintana Roo,100mil - 500mil,74,84,,,77765,-,10133,20797,58408,3.25,3.62,,,737,43613,100383,149923,NA,748,1236,3256,114761679.8,
108,0,Cozumel ,Cozumel ,Cozumel ,Quintana Roo,50mil- 100mil,82,70,,,56984,2418,14434,27373,47774,3.59,3.75,,,19044,59225,71401,77236,98,1101,1396,1891,274904.16,
11,0,San Luis Potosí-Soledad de Graciano Sánchez,San Luis Potosi-Soledad de Graciano Sanchez,San Luis Potosí-Soledad de Graciano Sánchez,San Luis Potosi,1 millon +,88,95,,,459457,46053,177078,277636,392741,3.84,4.045,,,471047,850828,957753,1040443,2000,12859,13681,14863,45561431.78,
79,1,Rioverde-Ciudad Fernández ,Rioverde-Ciudad Fernandez ,Rioverde-Ciudad Fernández ,San Luis Potosi,100mil - 500mil,60,44,,,53739,1805,15586,28638,42222,4.05,4.17,,,102567,128935,126997,135452,107,3803,3995,3686,2557194.47,
83,0,Ciudad Valles ,Ciudad Valles ,Ciudad Valles ,San Luis Potosi,100mil - 500mil,79,62,,,58354,4866,22435,36083,49706,3.72,3.89,,,65609,105721,116261,124644,475,2585,2720,2769,5409184.18,
106,0,Matehuala ,Matehuala ,Matehuala ,San Luis Potosi,50mil- 100mil,78,56,,,44615,2933,17416,25820,35487,4.07,4.18,,,41550,64206,70150,77328,315,1483,1697,1799,3513855.14,
26,0,Culiacán Rosales,Culiacan,Culiacán,Sinaloa,500mil - 1 millon,76,73,,,435697,44080,158647,224084,343230,3.81,4.04,,,304826,540823,605304,675773,1833,7118,8049,8312,47223158.15,
40,0,Mazatlán ,Mazatlan ,Mazatlán ,Sinaloa,100mil - 500mil,72,68,,,166021,16561,57129,84421,127392,3.55,3.7,,,199830,327989,352471,381583,856,3908,4171,4363,45584340.63,
53,0,Los Mochis ,Ahome,Ahome,Sinaloa,100mil - 500mil,83,76,,,165203,18895,55767,88544,131386,3.66,3.91,,,122531,200906,231977,256613,878,2587,2994,3273,55212205.1,
110,0,Guasave ,Guasave ,Guasave ,Sinaloa,50mil- 100mil,56,53,,,93982,12924,35949,52342,77990,3.97,4.12,,,35236,62801,66793,71196,186,1095,1169,1321,9540328.52,
115,0,Guamúchil ,Salvador Alvarado,Salvador Alvarado,Sinaloa,50mil- 100mil,74,52,,,37722,4627,13754,22715,31637,3.83,3.94,,,36308,57547,61862,63743,265,985,1018,1149,10737232.87,
23,0,Hermosillo,Hermosillo,Hermosillo,Sonora,500mil - 1 millon,99,100,,,292791,47405,146414,207060,292090,3.61,3.78,,,297175,545928,641791,715061,2118,8960,10412,11161,95723482.87,
49,0,Ciudad Obregón ,Cajeme,Cajeme,Sonora,100mil - 500mil,77,70,,,138284,29542,84263,93043,132861,3.56,3.75,,,165572,255425,275502,303126,1020,3369,3800,4100,61500985.68,
60,0,Heroica Nogales , Nogales , Nogales ,Sonora,100mil - 500mil,111,94,,,87618,18222,61307,72504,109181,3.79,3.9,,,65603,156854,189759,212533,540,2443,2865,3347,39255824.66,
62,1,Guaymas ,Guaymas ,Guaymas ,Sonora,100mil - 500mil,91,71,,,36213,10634,21545,25477,43861,3.55,3.84,,,139025,180316,184816,203430,371,2971,3206,3392,9530048.79,
69,0,San Luis Río Colorado ,San Luis Rio Colorado ,San Luis Río Colorado ,Sonora,100mil - 500mil,84,66,,,55319,13198,52164,52655,72262,3.69,3.8,,,76684,126645,138796,158089,1387,3791,4378,4527,4558205.73,
88,0,Navojoa ,Navojoa ,Navojoa ,Sonora,100mil - 500mil,82,63,,,38561,9760,23668,-,43597,3.85,4.02,,,62901,98187,103312,113836,387,2230,2360,2385,14196834.33,
107,0,Agua Prieta ,Agua Prieta ,Agua Prieta ,Sonora,50mil- 100mil,88,73,,,24161,5326,24772,21204,31533,3.86,3.85,,,28862,60420,68402,77254,509,1325,1512,1764,6409547.56,
120,0,Heroica Caborca, Caborca, Caborca,Sonora,50mil- 100mil,111,84,,,31333,7862,20450,23307,33375,3.67,3.82,,,33696,49917,52330,59922,361,1542,1671,1930,9855324.95,
126,0,Puerto Penasco,Puerto Peñasco,Puerto Peñasco,Sonora,50mil- 100mil,64,68,,,19339,3132,12746,14718,24405,3.63,3.87,,,17666,30466,44647,56756,213,1046,1407,2285,5910751.8,
21,0,Villahermosa,Villahermosa,Villahermosa,Tabasco,500mil - 1 millon,262,117,,,254759,19693,101684,129512,205838,3.56,3.79,,,250903,600580,644629,755425,319,7697,9092,9610,40784847.76,
99,0,Cárdenas ,Cardenas ,Cárdenas ,Tabasco,50mil- 100mil,84,111,,,45477,4071,17237,21642,36226,3.84,4.26,,,34078,81944,83099,95379,96,1904,2053,2149,2051971.06,
22,0,Reynosa-Rio Bravo,Reynosa-Rio Bravo,Reynosa-Rio Bravo,Tamaulipas,500mil - 1 millon,100.5,92,,,302307,83916,193399,259744,293153,3.62,3.52,,,294934,524692,633730,727150,2291,10579,12131,14001,140811539,
