orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,pob_1980,pob_2000,pob_2005,pob_2010,cambio_pob,area_1980,area_2000,area_2005,area_2010,cambio_area,sub_2015,sub_2010,normativa,remuneraciones_1980,remuneraciones_2000,remunera_2009,remunera_2014,autos_2014,autos_1980,tasamoto_1980,autos_2000,tasamoto_2000,autos_2005,tasamoto_2005,autos_2010,tasamoto_2010,tam_fam_1980,tam_fam_2000,tam_fam_2005,tam_fam_2010
101,0,Zitácuaro ,Zitacuaro ,Zitácuaro ,Michoacan,50mil- 100mil,"47,520","81,700","83,701","90,520",1.9,241,"2,309","2,340","2,465",10.2,136386.56,953902.18,,,,47,58,104300,"5,362",113,"25,292",310,"43,802",523,"97,742","1,080",,,4.42,4.09
95,0,Apatzingán de la Constitución ,Apatzingan de la Constitucion ,Apatzingán de la Constitución ,Michoacan,50mil- 100mil,"55,522","93,756","93,180","99,010",1.8,765,"1,613","1,699","1,730",2.3,560906.7,684340.57,,,,52,63,51010,"5,736",103,"21,278",227,"29,786",320,"39,324",397,,,4.21,4.1
132,0,Zacapu,Zacapu,Zacapu,Michoacan,50mil- 100mil,"39,570","49,086","51,386","52,806",1.3,236,"1,307","1,343","1,377",5.8,1467477.36,1278112.99,,,,66,85,31050,4653,118,16494,336,20301,395,27501,521,,,3.92,3.97
119,0,Ciudad Hidalgo,Ciudad Hidalgo,Ciudad Hidalgo,Michoacan,50mil- 100mil,"32,311","54,854","57,773","60,542",1.9,184,"1,081","1,099","1,289",7.0,66062.24,15647.04,,,,43,60,51869,"2,200",68,"19,269",351,"28,504",493,"45,957",759,,,4.46,4.2
114,0,Sahuayo de Morelos ,Sahuayo de Morelos ,Sahuayo de Morelos ,Michoacan,50mil- 100mil,"43,258","57,827","59,316","64,431",1.5,232,"1,190","1,200","1,270",5.5,7071538.82,3825322.27,,,,42,56,40791,"3,661",85,"12,381",214,"17,337",292,"28,413",441,,,4.17,3.98
129,0,Patzcuaro,Patzcuaro,Patzcuaro,Michoacan,50mil- 100mil,"32,902","47,993","51,124","55,298",1.7,466,901,928,979,2.1,844041.23,338106.38,,,,44,55,29803,"4,029",122,"11,423",238,"16,201",317,"24,396",441,,,4.33,4.18
15,0,Cuernavaca,Cuernavaca,Cuernavaca,Morelos,500mil - 1 millon,"368,166","798,782","847,144","924,964",2.5,"2,552","16,454","17,164","17,450",6.8,70324.32,2998935.75,,,,89,94,188653,55175,150,98424,123,102632,121,130005,141,,,3.62,3.55
35,1,Cuautla ,Cuautla ,Cuautla ,Morelos,100mil - 500mil,"138,127","372,256","383,010","434,147",3.1,417,"8,294","8,720","9,089",21.8,767813.12,1465473.35,,,,57,73,60304,"22,356",162,"28,489",77,"33,240",87,"45,390",105,,,3.85,3.74
36,1,Tepic ,Tepic ,Tepic ,Nayarit,100mil - 500mil,"177,007","342,840","379,296","429,351",2.4,876,"4,406","4,650","4,620",5.3,13148401.09,34400953.6,,,,67,73,165645,"17,219",97,"70,492",206,"111,011",293,"144,647",337,,,3.75,3.65
3,0,Monterrey,Monterrey,Monterrey,Nuevo Leon,1 millon +,"2,061,744","3,381,005","3,745,073","4,106,054",2.0,"12,855","55,035","58,668","63,018",4.9,995791.01,8772136.32,,,,115,127,567309,160021,78,360244,107,453597,121,621383,151,,,3.96,3.8
116,0,Linares ,Linares ,Linares ,Nuevo Leon,50mil- 100mil,"33,102","53,681","56,065","63,104",1.9,359,"1,430","1,521","1,549",4.3,5838574.95,8475018.41,,,,75,86,19543,"8,337",252,"10,439",194,"19,238",343,"25,212",400,,,3.87,3.79
28,0,Oaxaca,Oaxaca,Oaxaca,Oaxaca,500mil - 1 millon,"175,910","501,283","555,545","607,963",3.5,873,"10,748","12,803","13,441",15.4,797109.09,85710352.11,,,,71,59,187060,44,0,"86,504",173,"104,779",189,"147,265",242,,,3.83,3.84
67,1,Tehuantepec ,Tehuantepec ,Tehuantepec ,Oaxaca,100mil - 500mil,"70,682","145,567","150,281","161,337",2.3,"1,138","3,712","4,209","4,375",3.8,3388763.54,1525927.87,,,,45,60,34876,108,2,"14,832",102,"19,662",131,"28,363",176,,,3.91,3.84
93,0,San Juan Bautista Tuxtepec ,San Juan Bautista Tuxtepec ,San Juan Bautista Tuxtepec ,Oaxaca,100mil - 500mil,"29,050","87,071","97,241","105,182",3.6,329,"3,628","3,741","3,856",11.7,328180.16,3650488.24,,,,100,109,32764,"1,591",55,"10,598",122,"16,644",171,"23,173",220,,,3.88,3.68
109,0,Heroica Ciudad de Juchitán de Zaragoza ,Juchitan de Zaragoza ,Juchitán de Zaragoza ,Oaxaca,50mil- 100mil,"38,801","64,642","70,714","74,825",1.9,202,"1,066","1,233","1,331",6.6,1344054.02,1935062.02,,,,46,48,41733,644,17,"14,493",224,"28,690",406,"30,454",407,,,4.26,4.21
131,0,Heroica Ciudad de Huajuapan de Leon,Huajuapan de Leon,Huajuapan de Leon,Oaxaca,50mil- 100mil,"16,743","43,073","45,321","53,043",3.2,28,774,"1,159","1,270",45.4,679801.76,275991.7,,,,52,55,17695,51,3,"6,868",159,"11,290",249,"12,740",240,,,4.2,4.08
50,1,Tehuacán ,Tehuacan ,Tehuacán ,Puebla,100mil - 500mil,"113,107","240,507","279,409","296,899",2.6,718,"6,140","6,262","6,469",9.0,12844963.94,16854422.48,,,,51,62,66151,"8,921",79,"32,701",136,"34,428",123,"60,039",202,,,4.2,4.06
121,0,Acatzingo de Hidaldgo,Acatzingo de Hidaldgo,Acatzingo de Hidaldgo,Puebla,50mil- 100mil,"12,506","47,197","54,486","59,552",4.8,447,"2,725","2,743","2,860",6.4,1279443.24,145101.37,,,,40,51,8170,-,-,-,-,"4,238",78,"7,567",127,,,5.25,4.47
103,0,Atlixco ,Atlixco ,Atlixco ,Puebla,50mil- 100mil,"53,207","82,838","86,173","86,690",1.6,367,"2,562","2,674","2,826",7.7,2720652.96,759981.16,,,,51,56,32511,"3,785",71,"17,475",211,"18,631",216,"28,947",334,,,4.19,3.92
84,1,Teziutlán ,Teziutlan ,Teziutlán ,Puebla,100mil - 500mil,"25,119","102,727","115,057","122,500",4.9,75,"2,053","2,362","2,639",35.2,1001240.99,1362942.86,,,,49,60,19155,"3,994",159,"10,703",104,"11,867",103,"17,025",139,,,4.08,3.74
122,0,Huachinango,Huachinango,Huachinango,Puebla,50mil- 100mil,"25,778","49,452","54,753","59,256",2.3,48,"1,052","1,104","1,146",23.9,418148.59,343865.08,,,,42,53,16730,"3,595",139,"10,563",214,"11,085",202,"17,006",287,,,4.29,4.04
4,0,Puebla-Tlaxcala,Puebla-Tlaxcala,Puebla-Tlaxcala,Puebla-Tlaxcala,1 millon +,"1,111,266","2,269,995","2,523,321","2,728,790",2.5,"4,871","56,619","58,393","61,301",12.6,54697598.16,36673793.56,,,,82,71.5,554315,"126,127",113,"282,065",124,"386,584",153,"513,331",188,,,3.91,3.76
10,0,Querétaro,Queretaro,Querétaro,Queretaro,1 millon +,"323,275","816,481","950,828","1,097,025",3.4,782,"9,231","11,075","12,612",16.1,47123979.83,36108187.06,,,,102,115,325177,"33,474",104,"155,121",190,"169,935",179,"269,834",246,,,3.99,3.82
